code|level|name|nuts0|nuts1|nuts2|pop3|pop2|pop1|pop0|density|fertility|popchange|womenratio|gdppps|gva
MK|0|Severna Makedonija|MK|||0.0|0.0|0.4456762749445675|0.02456897426978169|0.003896812777369059|0.1688311688311688|0.09581084608706737|0.4456762749445675|0.01615798922800718|0.002906124262694762
MT|0|Malta|MT|||0.0|0.0|0.36363636363636354|0.005485375026655252|0.0734271542824596|0.11948051948051949|0.10797293031331386|0.36363636363636354|0.1382405745062837|0.0034736874427622904
NL|0|Nederland|NL|||0.0|0.0|0.4833702882483373|0.20780442857679127|0.023860265325011273|0.21038961038961043|0.1711251616349872|0.4833702882483373|0.2495511669658887|0.22523115505211275
PT3|1|Região Autónoma da Madeira|PT|PT3||0.0|0.0|0.7649667405764966|0.12338076617329773|0.01503666611291739|0.09610389610389605|0.09410039885140507|0.7649667405764966|0.10053859964093358|0.0013678835547663599
RO1|1|Macroregiunea Unu|RO|RO1||0.0|0.0|0.5454545454545456|0.233500663135048|0.0033462277808102145|0.2545454545454545|0.08266605149250558|0.5454545454545456|0.04129263913824058|0.013549250916686203
RO2|1|Macroregiunea Doi|RO|RO2||0.0|0.0|0.49889135254988903|0.233500663135048|0.0037401808386928353|0.3116883116883117|0.05567756172483502|0.49889135254988903|0.026929982046678638|0.011866138861661896
RO3|1|Macroregiunea Trei|RO|RO3||0.0|0.0|0.6119733924611974|0.233500663135048|0.00694401594797921|0.22597402597402597|0.07719474511756098|0.6119733924611974|0.07001795332136446|0.02248030622987214
RO4|1|Macroregiunea Patru|RO|RO4||0.0|0.0|0.5388026607538803|0.233500663135048|0.0028525998528609064|0.21818181818181823|0.07182664230253212|0.5388026607538803|0.03770197486535009|0.009718731540647525
RS1|1|Serbia - sever|RS|RS1||0.0|0.0|0.6341463414634145|0.08345765621664328|0.006863326767449035|0.187012987012987|0.08952605282808107|0.6341463414634145|0.03052064631956912|0.007367924739338589
EL5|1|Voreia Elláda|EL|EL5||0.0|0.0|0.5742793791574281|0.12877938622815738|0.0028146284737878826|0.12987012987012989|0.08946913910018636|0.5742793791574281|0.06283662477558348|0.011549139567823729
DE2|1|Bayern|DE|DE2||0.0|0.0|0.4900221729490022|1.0|0.008790374255404989|0.20259740259740264|0.15476284429011128|0.4900221729490022|0.27109515260323164|0.18538523806741297
DE3|1|Berlin|DE|DE3||0.0|0.0|0.52549889135255|1.0|0.20355032394332773|0.1792207792207792|0.11819691239231922|0.52549889135255|0.2244165170556553|0.043054921867802694
DE4|1|Brandenburg|DE|DE4||0.0|0.0|0.5121951219512197|1.0|0.004039205448892897|0.22077922077922077|0.1003988514050861|0.5121951219512197|0.15798922800718135|0.021555332203242385
DE5|1|Bremen|DE|DE5||0.0|0.0|0.49667405764966754|1.0|0.0827301421553504|0.21818181818181823|0.0959041846008147|0.49667405764966754|0.2782764811490126|0.009864151152678842
DK0|1|Danmark|DK|DK0||0.0|0.0|0.47450110864745|0.0695064468801742|0.006488359399102926|0.24675324675324675|0.11330992029042694|0.47450110864745|0.29622980251346503|0.0862303462387396
EE0|1|Eesti|EE|EE0||0.0|0.0|0.7139689578713966|0.015502880876048066|0.0013812089137812374|0.23376623376623376|0.09873697055056063|0.7139689578713966|0.0969479353680431|0.0069925607701707086
EL3|1|Attiki|EL|EL3||0.0|0.0|0.687361419068736|0.12877938622815738|0.046918385267104915|0.15064935064935067|0.0836320671673051|0.687361419068736|0.12387791741472172|0.02509919415236557
PL|0|Polska|PL|||0.0|0.0|0.5986696230598667|0.4571469303725373|0.005804874575788499|0.1766233766233766|0.09148084966883797|0.5986696230598667|0.06104129263913824|0.1397359571735752
FRI|1|Nouvelle-Aquitaine|FR|FRI||0.0|0.0|0.6297117516629711|0.8090935455156604|0.0033130028241213183|0.22857142857142856|0.10919999028672375|0.6297117516629711|0.1615798922800718|0.051842396469982926
FRJ|1|Occitanie|FR|FRJ||0.0|0.0|0.607538802660754|0.8090935455156604|0.0037876450625341147|0.24675324675324675|0.11983147465745522|0.607538802660754|0.15978456014362658|0.05069538536062676
FRK|1|Auvergne-Rhône-Alpes|FR|FRK||0.0|0.0|0.5787139689578715|0.8090935455156604|0.005344471604528087|0.2805194805194806|0.12179613654438055|0.5787139689578715|0.18850987432675048|0.07992906922856546
FRL|1|Provence-Alpes-Côte d’Azur|FR|FRL||0.0|0.0|0.6585365853658536|0.8090935455156604|0.007627500771293637|0.3064935064935065|0.10418323488523155|0.6585365853658536|0.18312387791741475|0.04905832074943281
FRM|1|Corse|FR|FRM||0.0|0.0|0.5787139689578715|0.8090935455156604|0.0017988940835844984|0.1662337662337662|0.09723065388561401|0.5787139689578715|0.1490125673249551|0.0026792209029950047
FRY|1|RUP FR — Régions Ultrapériphériques Françaises|FR|FRY||0.0|0.0|0.7250554323725054|0.8090935455156604|0.0011059164155018157|0.5272727272727273|0.0999055990966653|0.7250554323725054|0.10771992818671454|0.013841741746299622
HR0|1|Hrvatska|HR|HR0||0.0|0.0|0.5986696230598667|0.0486602478753076|0.003412677694188006|0.1792207792207792|0.07222731494691087|0.5986696230598667|0.059245960502693|0.013799869288871875
HU1|1|Közép-Magyarország|HU|HU1||0.0|0.0|0.6962305986696229|0.11730874966490756|0.02105512969599165|0.15064935064935067|0.10926601021108162|0.6962305986696229|0.1059245960502693|0.01700026539087709
HU2|1|Dunántúl|HU|HU2||0.0|0.0|0.6252771618625277|0.11730874966490756|0.0038351092863753945|0.18961038961038965|0.0938962682806894|0.6252771618625277|0.05745062836624776|0.009749904318403996
HU3|1|Alföld és Észak|HU|HU3||0.0|0.0|0.638580931263858|0.11730874966490756|0.00365949165816266|0.23636363636363636|0.0758409572433722|0.638580931263858|0.03949730700179534|0.00973983463260261
IE0|1|Ireland|IE|IE0||0.0|0.0|0.4944567627494456|0.05863838318811808|0.003303509979353063|0.2545454545454545|0.1504609253109766|0.4944567627494456|0.36983842010771995|0.09525509696455298
IS0|1|Ísland|IS|IS0||0.0|0.0|0.34811529933481133|0.0038395974202959033|0.00010442129245081519|0.24155844155844156|0.10090272760938059|0.34811529933481133|0.14391992583987517|0.010071491969965738
