id,name,q,r,colour
LV00,"Latvija",7,7,"rgb(159,0,0)"
EE00,"Eesti",7,8,"rgb(212,30,30)"
LT01,"Sostinės regionas",6,6,"rgb(0,60,60)"
LT02,"Vidurio ir vakarų Lietuvos regionas",7,6,"rgb(0,60,60)"
FI19,"Länsi-Suomi",6,7,"rgb(53,90,90)"
FI1B,"Helsinki-Uusimaa",6,8,"rgb(53,90,90)"
FI1C,"Etelä-Suomi",6,9,"rgb(53,90,90)"
FI1D,"Pohjois- ja Itä-Suomi",6,10,"rgb(53,90,90)"
FI20,"Åland",6,11,"rgb(53,90,90)"
NO02,"Innlandet",1,11,"rgb(106,120,120)"
NO06,"Trøndelag",2,11,"rgb(106,120,120)"
NO07,"Nord-Norge",1,12,"rgb(106,120,120)"
NO08,"Oslo og Viken",2,12,"rgb(106,120,120)"
NO09,"Agder og Sør-Østlandet",1,13,"rgb(106,120,120)"
NO0A,"Vestlandet",2,13,"rgb(106,120,120)"
NO0B,"Jan Mayen and Svalbard",2,14,"rgb(106,120,120)"
SE11,"Stockholm",3,10,"rgb(159,150,150)"
SE12,"Östra Mellansverige",4,10,"rgb(159,150,150)"
SE21,"Småland med öarna",3,11,"rgb(159,150,150)"
SE22,"Sydsverige",4,11,"rgb(159,150,150)"
SE23,"Västsverige",3,12,"rgb(159,150,150)"
SE31,"Norra Mellansverige",4,12,"rgb(159,150,150)"
SE32,"Mellersta Norrland",3,13,"rgb(159,150,150)"
SE33,"Övre Norrland",4,13,"rgb(159,150,150)"
IS00,"Ísland",-2,11,"rgb(212,180,180)"
CZ01,"Praha",4,-1,"rgb(0,210,210)"
CZ02,"Střední Čechy",5,-1,"rgb(0,210,210)"
CZ03,"Jihozápad",4,0,"rgb(0,210,210)"
CZ04,"Severozápad",5,0,"rgb(0,210,210)"
CZ05,"Severovýchod",4,1,"rgb(0,210,210)"
CZ06,"Jihovýchod",5,1,"rgb(0,210,210)"
CZ07,"Střední Morava",4,2,"rgb(0,210,210)"
CZ08,"Moravskoslezsko",5,2,"rgb(0,210,210)"
SK01,"Bratislavský kraj",6,1,"rgb(53,240,240)"
SK02,"Západné Slovensko",7,1,"rgb(53,240,240)"
SK03,"Stredné Slovensko",6,2,"rgb(53,240,240)"
SK04,"Východné Slovensko",7,2,"rgb(53,240,240)"
HU11,"Budapest",4,-2,"rgb(106,0,0)"
HU12,"Pest",5,-2,"rgb(106,0,0)"
HU21,"Közép-Dunántúl",6,-2,"rgb(106,0,0)"
